a	@
bream	bh r i: m
breast	bh r e s t
breasts	bh r e s t s
breath	bh r e T
breathe	bh r i: D
breathed	bh r i: D d
breathes	bh r i: D z
breaths	bh r e T s
breaux	bh r @U
brecht	bh r e k t
breck	bh r e k
bred	bh r e d
brede	bh r i: d
bree	bh r i:
breech	bh r i: tS
breed	bh r i: d
breeds	bh r i: d z
breed's	bh r i: d z
breen	bh r i: n
brees	bh r i: z
breese	bh r i: z
breeze	bh r i: z
breezed	bh r i: z d
bren	bh r e n
brenn	bh r e n
brent	bh r e n t
brents	bh r e n t s
bress	bh r e s
brest	bh r e s t
bret	bh r e t
breth	bh r e T
brett	bh r e t
bretz	bh r e t s
brew	bh r u:
brewed	bh r u: d
brews	bh r u: z
brey	bh r eI
bribe	bh r aI b
bribed	bh r aI b d
bribes	bh r aI b z
brice	bh r aI s
brick	bh r I k
bricks	bh r I k s
bride	bh r aI d
brides	bh r aI d z
bride's	bh r aI d z
bridge	bh r I dZ
bridged	bh r I dZ d
brie	bh r i:
brief	bh r i: f
briefed	bh r i: f t
briefs	bh r i: f s
brig	bh r I g
briggs	bh r I g z
bright	bh r aI t
bright's	bh r aI t s
brill	bh r I l
brim	bh r I m
brimmed	bh r I m d
brin	bh r I n
brine	bh r aI n
brines	bh r aI n z
bring	bh r I N
brings	bh r I N z
brink	bh r I N k
brinks	bh r I N k s
brink's	bh r I N k s
brinn	bh r I n
brisk	bh r I s k
brit	bh r I t
brite	bh r aI t
b'rith	bh r I T
brits	bh r I t s
britt	bh r I t
britts	bh r I t s
brix	bh r I k s
bro	bh r @U
broach	bh r @U tS
broached	bh r @U tS t
broad	bh r O: d
broad's	bh r O: d z
brock	bh r Q k
brock's	bh r Q k s
brod	bh r Q d
broil	bh r OI l
broiled	bh r OI l d
brok	bh r Q k
broke	bh r @U k
brom	bh r Q m
bronc	bh r Q N k
bronk	bh r Q N k
bronx	bh r Q N k s
bronze	bh r Q n z
bronzed	bh r Q n z d
brooch	bh r @U tS
brood	bh r u: d
brook	bh r U k
brooke	bh r U k
brookes	bh r U k s
brooke's	bh r U k s
brooks	bh r U k s
brook's	bh r U k s
broom	bh r u: m
broome	bh r u: m
brooms	bh r u: m z
bro's	bh r @U z
brose	bh r @U z
brost	bh r Q s t
broth	bh r O: T
broths	bh r O: T s
brott	bh r Q t
brough	bh r aU
brought	bh r O: t
broun	bh r u: n
brow	bh r aU
browed	bh r aU d
brown	bh r aU n
browne	bh r aU n
browned	bh r aU n d
browns	bh r aU n z
brown's	bh r aU n z
brows	bh r aU z
browse	bh r aU z
browsed	bh r aU z d
broz	bh r Q z
bruce	bh r u: s
bruch	bh r V tS
brugh	bh r V
bruhn	bh r V n
bruise	bh r u: z
bruised	bh r u: z d
brule	bh r u: l
brum	bh r V m
brunch	bh r V n tS
brune	bh r u: n
brunk	bh r V N k
brunn	bh r V n
bruns	bh r V n z
brunt	bh r V n t
brush	bh r V S
brushed	bh r V S t
brusque	bh r V s k
brust	bh r V s t
brut	bh r u: t
brute	bh r u: t
bryce	bh r aI s
bryn	bh r I n
b's	bh i: z
bub	bh V b
bubb	bh V b
buch	bh V tS
buck	bh V k
bucked	bh V k t
bucks	bh V k s
buck's	bh V k s
bud	bh V d
budd	bh V d
budde	bh V d
budge	bh V dZ
budged	bh V dZ d
buds	bh V d z
bud's	bh V d z
bueche	bh u: tS
buff	bh V f
buffs	bh V f s
buff's	bh V f s
bug	bh V g
bugged	bh V g d
bugs	bh V g z
buhl	bh j u: l
buhr	bh j U@
bui	bh I
build	bh I l d
builds	bh I l d z
built	bh I l t
bulb	bh V l b
bulbs	bh V l b z
bulge	bh V l dZ
bulged	bh V l dZ d
bulk	bh V l k
bull	bh U l
bulls	bh U l z
bull's	bh U l z
bult	bh V l t
bum	bh V m
bummed	bh V m d
bump	bh V m p
bumped	bh V m p t
bumps	bh V m p s
bums	bh V m z
bun	bh V n
bunce	bh V n s
bunch	bh V n tS
bunche	bh V n tS
bunched	bh V n tS t
bund	bh V n d
bunde	bh V n d
bunds	bh V n d z
bung	bh V N
bunk	bh V N k
bunks	bh V N k s
bunn	bh V n
buns	bh V n z
bunt	bh V n
bur	bh @r
burch	bh @r tS
burck	bh @r k
burd	bh @r d
burg	bh @r g
burge	bh @r g
burk	bh @r k
burke	bh @r k
burkes	bh @r k s
burke's	bh @r k s
burks	bh @r k s
burl	bh @r l
burn	bh @r n
burne	bh @r n
burned	bh @r n d
burnes	bh @r n z
burns	bh @r n z
burnsed	bh @r n z d
burnt	bh @r n t
burp	bh @r p
burr	bh @r
bursch	bh @r S
burse	bh @r s
burst	bh @r s t
bursts	bh @r s t s
burt	bh @r t
burtt	bh @r t
bus	bh V s
busch	bh U S
bused	bh V s t
bush	bh U S
busk	bh V s k
buss	bh V s
bussed	bh V s t
bust	bh V s t
busts	bh V s t s
but	bh V t
butch	bh U tS
bute	bh j u: t
buts	bh V t s
butt	bh V t
butte	bh j u: t
butts	bh V t s
buy	bh aI
buys	bh aI z
buzz	bh V z
buzzed	bh V z d
by	bh aI
byard	bh j Q@ d
bye	bh aI
byrd	bh @r d
byrd's	bh @r d z
byrn	bh I@ n
byrne	bh @r n
byrnes	bh @r n z
byrne's	bh @r n z
byte	bh aI t
bytes	bh aI t s
c	s i:
c.	s i:
ca	kh V
cab	kh { b
cabe	kh eI b
cabs	kh { b z
cab's	kh { b z
cac	kh { k
cache	kh { S
cad	kh { d
cade	kh eI d
cads	kh { d s
caen	kh { n
caen's	kh { n z
cage	kh eI dZ
caged	kh eI dZ d
cahn	kh { n
cai	kh aI
cain	kh eI n
caine	kh eI n
caines	kh eI n z
cain's	kh eI n z
cairns	kh e@ n z
caisse	kh eI s
cake	kh eI k
caked	kh eI k t
cakes	kh eI k s
cake's	kh eI k s
cal	kh { l
cale	kh eI l
calf	kh { f
calf's	kh { f s
calk	kh O: k
call	kh O: l
calle	kh eI l
called	kh O: l d
calles	kh eI l z
calls	kh O: l z
call's	kh Q l z
calm	kh Q m
calmed	kh Q m d
calms	kh Q m z
calves	kh { v z
cam	kh { m
came	kh eI m
camm	kh { m
camp	kh { m p
camped	kh { m p t
camps	kh { m p s
camp's	kh { m p s
cam's	kh { m z
can	kh { n
cane	kh eI n
caned	kh eI n d
canes	kh eI n z
cann	kh { n
canned	kh { n d
cannes	kh { n z
cans	kh { n z
can's	kh { n z
cant	kh { n t
can't	kh { n t
cap	kh { p
cape	kh eI p
caped	kh eI p t
capes	kh eI p s
capp	kh { p
capped	kh { p t
capps	kh { p s
caps	kh { p s
cap's	kh { p s
car	kh Q@
card	kh Q@ d
cards	kh Q@ d z
card's	kh Q@ d z
care	kh e@
cared	kh e@ d
cares	kh e@ z
care's	kh e@ z
carl	kh Q@ l
carles	kh Q@ l z
carls	kh Q@ l z
carl's	kh Q@ l z
carn	kh Q@ n
carne	kh Q@ n
carnes	kh Q@ n z
carns	kh Q@ n z
carp	kh Q@ p
carr	kh Q@
carr's	kh Q@ z
cars	kh Q@ z
car's	kh Q@ z
carse	kh Q@ s
cart	kh Q@ t
carte	kh Q@ t
carts	kh Q@ t s
carve	kh Q@ v
carved	kh Q@ v d
carves	kh Q@ v z
cas	kh { s
case	kh eI s
cash	kh { S
cashed	kh { S t
cask	kh { s k
casks	kh { s k s
cass	kh { s
cast	kh { s t
caste	kh { s t
castes	kh { s t s
casts	kh { s t s
cat	kh { t
catch	kh { tS
cate	kh eI t
cates	kh eI t s
cats	kh { t s
cat's	kh { t s
catt	kh { t
caught	kh Q t
caul	kh Q l
caulk	kh Q k
cause	kh Q z
caused	kh Q z d
cave	kh eI v
caved	kh eI v d
caves	kh eI v z
cave's	kh eI v z
caw	kh O:
cay	kh eI
cayce	kh eI s
cayes	kh eI z
cease	s i: s
ceased	s i: s t
cece	s i: s
cede	s i: d
cedes	s i: d z
cees	s i: z
cel	s e l
cele	s i: l
cell	s e l
celled	s e l d
cells	s e l z
cell's	s e l z
cels	s e l z
celt	s e l t
celts	s e l t s
cent	s e n t
cents	s e n t s
cep	s e p
cerf	s @r f
cern	s @r n
c'est	s e s t
cha	tS Q
chace	tS eI s
chad	tS { d
chadd	tS { d
chad's	tS { d z
chae	tS aI
chafe	tS eI f
chafed	tS eI f t
chafes	tS eI f s
chaff	tS { f
chai	tS aI
chain	tS eI n
